85711,"(32.2237655028609, -110.870918674932)"
94043,"(37.406948363578, -122.089973532962)"
32067,"(30.6936414, -88.1788365)"
43537,"(41.561959, -83.646264)"
15213,"(40.4282335, -79.9544998)"
98101,"(47.6107639825592, -122.336160824547)"
91344,"(34.2714078399248, -118.498546098022)"
05201,"(42.8789378357227, -73.2076512768436)"
01002,"(42.3816649375712, -72.5152044784281)"
90703,"(33.8598060308022, -118.073458518729)"
30329,"(33.8244687977959, -84.3243450679572)"
06405,"(41.2779769737169, -72.8077234804377)"
29206,"(34.0581698, -80.9535403)"
55106,"(44.944128, -93.057301)"
97301,"(44.9386293312929, -123.010830163751)"
10309,"(40.553488, -74.216576)"
06355,"(41.364828, -72.0754776)"
37212,"(36.1389922, -86.7893517)"
02138,"(42.38020855, -71.1319451796095)"
95660,"(38.6480234224587, -121.332934988577)"
30068,"(33.9687230829499, -84.4367830950773)"
40206,"(38.266673, -85.722872)"
48197,"(42.2309988, -83.6168475)"
94533,"(38.2489383, -122.0635396)"
55107,"(44.9288305168442, -93.085295806103)"
21044,"(39.2229618, -76.8886496)"
30030,"(33.7640854, -84.3123898)"
55369,"(45.0975871, -93.4221471)"
55436,"(44.8904102, -93.3718988)"
10003,"(40.731570963348, -73.9884701449128)"
78741,"(30.2330122, -97.7289079)"
27510,"(35.9114193917544, -79.0810029062123)"
42141,"(37.018126, -85.90699)"
42459,"(37.5640131622216, -88.0032052456257)"
93117,"(34.4361613, -119.856540465541)"
55105,"(44.9359108463993, -93.1576242738975)"
54467,"(44.4335415945832, -89.529280885925)"
01040,"(42.2026703832267, -72.6247002576722)"
27514,"(35.9252132, -79.0284735)"
80525,"(40.5382286674791, -105.062633735484)"
17870,"(40.855376, -76.865089)"
20854,"(39.027908, -77.207611)"
46260,"(39.9031529, -86.1932184)"
50233,"(41.5947652414204, -94.2152626860095)"
46538,"(41.34005, -85.766517)"
07102,"(40.7355163413337, -74.1728430125404)"
12550,"(41.5049647, -74.0780784)"
76111,"(32.8040759, -97.2948196)"
